from,to,meters,highway,surface,incline,sidewalk,maxspeed,name
osm53281667,osm5489180185,8.6,service,,,,,
osm53281753,osm53281760,61.01,service,asphalt,,,,
osm53281760,osm53281753,61.01,service,asphalt,,,,
osm53281760,osm53281764,29.81,service,asphalt,,,,
osm53281764,osm53281760,29.81,service,asphalt,,,,
osm53281798,osm5477060499,22.05,service,asphalt,,,,
osm5477060499,osm53281798,22.05,service,asphalt,,,,
osm5477060499,osm53281807,29.19,service,asphalt,,,,
osm53281807,osm5477060499,29.19,service,asphalt,,,,
osm53281807,osm5477060502,7.08,service,asphalt,,,,
osm5477060502,osm53281807,7.08,service,asphalt,,,,
osm5477060502,osm459413379,52.47,service,asphalt,,,,
osm459413379,osm5477060502,52.47,service,asphalt,,,,
osm459413379,osm53281813,16.92,service,asphalt,,,,
osm53281813,osm459413379,16.92,service,asphalt,,,,
osm53281941,osm53281807,43.26,service,,,,,
osm53281807,osm53281941,43.26,service,,,,,
osm53282047,osm53281760,63.39,service,asphalt,,,,
osm53281760,osm53282047,63.39,service,asphalt,,,,
osm2714900757,osm2714900759,20.24,service,asphalt,,,,
osm2714900759,osm2714900757,20.24,service,asphalt,,,,
osm2714900759,osm2714900758,98.96,service,asphalt,,,,
osm2714900758,osm2714900759,98.96,service,asphalt,,,,
osm2714900758,osm2714900754,19.06,service,asphalt,,,,
osm2714900754,osm2714900758,19.06,service,asphalt,,,,
osm2714900754,osm53282148,72.65,service,asphalt,,,,
osm53282148,osm2714900754,72.65,service,asphalt,,,,
osm53282148,osm53282156,72.8,service,asphalt,,,,
osm53282156,osm53282148,72.8,service,asphalt,,,,
osm53282156,osm53282159,11.85,service,asphalt,,,,
osm53282159,osm53282156,11.85,service,asphalt,,,,
osm53279276,osm53282265,218.58,motorway_link,asphalt,,,,
osm4210161512,osm4210161519,3.94,service,asphalt,,,,
osm4210161519,osm4210161502,15.4,service,asphalt,,,,
osm4210161502,osm4210161512,31.03,service,asphalt,,,,
osm1179485869,osm2990323560,10.12,service,concrete,,,,
osm2990323560,osm1179485869,10.12,service,concrete,,,,
osm2990323560,osm2990323559,0.82,service,concrete,,,,
osm2990323559,osm2990323560,0.82,service,concrete,,,,
osm3663925150,osm3663925304,166.68,service,asphalt,,,,
osm3663925304,osm3663925150,166.68,service,asphalt,,,,
osm1420820707,osm1420820732,28.63,service,asphalt,,,,
osm1420820732,osm1420820707,28.63,service,asphalt,,,,
osm1420820732,osm53283045,2.99,service,asphalt,,,,
osm53283045,osm1420820732,2.99,service,asphalt,,,,
osm53283045,osm1420820670,8.41,service,asphalt,,,,
osm1420820670,osm53283045,8.41,service,asphalt,,,,
osm53283058,osm53283045,44.97,service,asphalt,,,,
osm53283045,osm53283058,44.97,service,asphalt,,,,
osm53283066,osm53283071,41.23,service,asphalt,,,,
osm53283071,osm53283066,41.23,service,asphalt,,,,
osm53283071,osm53283073,43.18,service,asphalt,,,,
osm53283073,osm53283071,43.18,service,asphalt,,,,
osm53283076,osm53283071,34.49,service,asphalt,,,,
osm53283071,osm53283076,34.49,service,asphalt,,,,
osm53285204,osm53279239,624.03,motorway_link,,,,,
osm2822085323,osm53286142,22.41,service,,,,,
osm53286142,osm2822085323,22.41,service,,,,,
osm53286142,osm53286145,136.44,service,,,,,
osm53286145,osm53286142,136.44,service,,,,,
osm53287228,osm2615876773,8.31,service,asphalt,,,,
osm2615876773,osm53287228,8.31,service,asphalt,,,,
osm2615876773,osm3026626732,12.37,service,asphalt,,,,
osm3026626732,osm2615876773,12.37,service,asphalt,,,,
osm3026626732,osm3029024133,38.41,service,asphalt,,,,
osm3029024133,osm3026626732,38.41,service,asphalt,,,,
osm3029024133,osm6776856552,6.17,service,asphalt,,,,
osm6776856552,osm3029024133,6.17,service,asphalt,,,,
osm6776856552,osm3029024124,9.4,service,asphalt,,,,
osm3029024124,osm6776856552,9.4,service,asphalt,,,,
osm3029024124,osm53287229,5.69,service,asphalt,,,,
osm53287229,osm3029024124,5.69,service,asphalt,,,,
osm8235865380,osm1234983334,12.97,service,asphalt,,,,
osm1234983334,osm6223227458,43.68,service,asphalt,,,,
osm6223227458,osm6223227461,36.3,service,asphalt,,,,
osm6223227461,osm8109848416,61.81,service,asphalt,,,,
osm8109848416,osm8109848403,31.11,service,asphalt,,,,
osm53287662,osm53280921,117.68,service,,,,,
osm53280921,osm53287662,117.68,service,,,,,
osm53288496,osm53288498,53.23,service,,,,,
osm53288498,osm53288496,53.23,service,,,,,
osm53288498,osm53288499,19.98,service,,,,,
osm53288499,osm53288498,19.98,service,,,,,
osm53288558,osm53639612,109.56,service,,,,,
osm53639612,osm53288558,109.56,service,,,,,
osm53639612,osm10829896531,44.36,service,,,,,
osm10829896531,osm53639612,44.36,service,,,,,
osm10829896531,osm53288558,49.3,service,,,,,
osm53288558,osm10829896531,49.3,service,,,,,
osm53288573,osm53288575,49.56,residential,,,,,
osm53288575,osm53288573,49.56,residential,,,,,
osm3750106843,osm3750106844,8.31,service,,,,,
osm3750106844,osm3750106843,8.31,service,,,,,
osm3750106844,osm53288610,86.21,service,,,,,
osm53288610,osm3750106844,86.21,service,,,,,
osm53288610,osm53288612,24.79,service,,,,,
osm53288612,osm53288610,24.79,service,,,,,
osm53288614,osm53288615,7.95,service,,,,,
osm53288615,osm53288614,7.95,service,,,,,
osm53288615,osm53288618,77.88,service,,,,,
osm53288618,osm53288615,77.88,service,,,,,
osm53289475,osm5479060724,8.64,service,asphalt,,,,
osm5479060724,osm53289475,8.64,service,asphalt,,,,
osm5479060724,osm53289476,14.94,service,asphalt,,,,
osm53289476,osm5479060724,14.94,service,asphalt,,,,
osm3812685627,osm3745005708,7.97,service,,,,,
osm3745005708,osm3812685627,7.97,service,,,,,
osm3745005708,osm53290320,22.08,service,,,,,
osm53290320,osm3745005708,22.08,service,,,,,
osm53290398,osm53290400,130.97,service,,,,,
osm53290400,osm53290398,130.97,service,,,,,
osm53290400,osm53290407,52.92,service,,,,,
osm53290407,osm53290400,52.92,service,,,,,
osm53290407,osm53290411,43.3,service,,,,,
osm53290411,osm53290407,43.3,service,,,,,
osm53290411,osm53290415,27.4,service,,,,,
osm53290415,osm53290411,27.4,service,,,,,
osm53290415,osm9930613857,14.29,service,,,,,
osm9930613857,osm53290415,14.29,service,,,,,
osm9930613857,osm53290419,67.59,service,,,,,
osm53290419,osm9930613857,67.59,service,,,,,
osm53290419,osm53290420,30.57,service,,,,,
osm53290420,osm53290419,30.57,service,,,,,
osm53290420,osm53290437,176.62,service,,,,,
